法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
政令,昭和三十七年政令第二百二十七号,外国居住者等の所得に対する相互主義による所得税等の非課税等に関する法律施行令,がいこくきょじゅうしゃとうのしょとくにたいするそうごしゅぎによるしょとくぜいとうのひかぜいとうにかんするほうりつせこうれい,外国人等の国際運輸業に係る所得に対する相互主義による所得税等の非課税に関する法律施行令,昭和三十七年五月三十一日,外国居住者等の所得に対する相互主義による所得税等の非課税等に関する法律施行令の一部を改正する政令,令和六年政令第二百十四号,令和六年六月二十一日,令和八年一月一日,,337CO0000000227,https://laws.e-gov.go.jp/law/337CO0000000227/20260101_506CO0000000214,○
府省令,昭和三十七年大蔵省令第二十六号,酒税法施行規則,しゅぜいほうしこうきそく,,昭和三十七年三月三十一日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う財務省関係省令の整理に関する省令,令和七年財務省令第三十四号,令和七年三月三十一日,令和七年四月一日,,337M50000040026,https://laws.e-gov.go.jp/law/337M50000040026/20250401_507M60000040034,
府省令,昭和三十七年大蔵省令第二十八号,国税通則法施行規則,こくぜいつうそくほうしこうきそく,,昭和三十七年四月二日,国税通則法施行規則の一部を改正する省令,令和七年財務省令第二十五号,令和七年三月三十一日,令和七年四月一日,,337M50000040028,https://laws.e-gov.go.jp/law/337M50000040028/20250401_507M60000040025,
府省令,昭和三十七年大蔵省令第二十八号,国税通則法施行規則,こくぜいつうそくほうしこうきそく,,昭和三十七年四月二日,国税通則法施行規則の一部を改正する省令,令和七年財務省令第二十五号,令和七年三月三十一日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,337M50000040028,https://laws.e-gov.go.jp/law/337M50000040028/20260521_507M60000040025,○
府省令,昭和三十七年大蔵省令第二十八号,国税通則法施行規則,こくぜいつうそくほうしこうきそく,,昭和三十七年四月二日,国税通則法施行規則の一部を改正する省令,令和七年財務省令第二十五号,令和七年三月三十一日,令和八年六月二十九日,所得税法等の一部を改正する法律（令和五年法律第三号）附則第一条第七号に掲げる規定の施行の日,337M50000040028,https://laws.e-gov.go.jp/law/337M50000040028/20260629_507M60000040025,○
府省令,昭和三十七年大蔵省令第二十八号,国税通則法施行規則,こくぜいつうそくほうしこうきそく,,昭和三十七年四月二日,国税通則法施行規則の一部を改正する省令,令和七年財務省令第二十五号,令和七年三月三十一日,令和八年十一月一日,,337M50000040028,https://laws.e-gov.go.jp/law/337M50000040028/20261101_507M60000040025,○
府省令,昭和三十七年大蔵省令第三十号,揮発油税法施行規則,きはつゆぜいほうせこうきそく,,昭和三十七年四月二日,国税関係法令に係る行政手続等における情報通信の技術の利用に関する省令等の一部を改正する省令,令和元年財務省令第三十六号,令和元年十二月十三日,令和元年十二月十六日,,337M50000040030,https://laws.e-gov.go.jp/law/337M50000040030/20191216_501M60000040036,
府省令,昭和三十七年大蔵省令第三十一号,国税徴収法施行規則,こくぜいちょうしゅうほうしこうきそく,,昭和三十七年四月二日,国税徴収法施行規則の一部を改正する省令,令和五年財務省令第十八号,令和五年三月三十一日,令和六年一月一日,,337M50000040031,https://laws.e-gov.go.jp/law/337M50000040031/20240101_505M60000040018,
府省令,昭和三十七年大蔵省令第三十一号,国税徴収法施行規則,こくぜいちょうしゅうほうしこうきそく,,昭和三十七年四月二日,国税徴収法施行規則の一部を改正する省令,令和六年財務省令第二十三号,令和六年三月三十日,令和八年五月二十四日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律（令和五年法律第五十三号）附則第三号に掲げる規定の施行の日,337M50000040031,https://laws.e-gov.go.jp/law/337M50000040031/20260524_506M60000040023,○
法律,昭和三十九年法律第百一号,自家用自動車の一時輸入に関する通関条約の実施に伴う関税法等の特例に関する法律,じかようじどうしゃのいちじゆにゅうにかんするつうかんじょうやくのじっしにともなうかんぜいほうとうのとくれいにかんするほうりつ,,昭和三十九年六月十五日,,平成十一年法律第百六十号,平成十一年十二月二十二日,平成十三年一月六日,,339AC0000000101,https://laws.e-gov.go.jp/law/339AC0000000101/20010106_411AC0000000160,
政令,昭和三十九年政令第百八十二号,自家用自動車の一時輸入に関する通関条約の実施に伴う関税法等の特例に関する法律施行令,じかようじどうしゃのいちじゆにゅうにかんするつうかんじょうやくのじっしにともなうかんぜいほうとうのとくれいにかんするほうりつしこうれい,,昭和三十九年六月十五日,,平成十五年政令第百四十二号,平成十五年三月三十一日,平成十五年四月一日,,339CO0000000182,https://laws.e-gov.go.jp/law/339CO0000000182/20030401_415CO0000000142,
府省令,昭和三十九年大蔵省令第四十九号,保証団体となるための認可を申請する際の添附書類及び保証業務を廃止する際の届出に関する省令,ほしょうだんたいとなるためのにんかをしんせいするさいのそえふしょるいおよびほしょうぎょうむをはいしするさいのとどけでにかんするしょうれい,,昭和三十九年七月九日,,平成十七年財務省令第十二号,平成十七年三月七日,平成十七年三月七日,,339M50000040049,https://laws.e-gov.go.jp/law/339M50000040049/20050307_417M60000040012,
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20250601_504AC0000000068,
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,雇用保険法等の一部を改正する法律,令和六年法律第二十六号,令和六年五月十七日,令和七年十月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20251001_506AC0000000026,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和七年十二月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20251201_507AC0000000013,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和七年十二月十八日,スマートフォンにおいて利用される特定ソフトウェアに係る競争の促進に関する法律（令和六年法律第五十八号）の施行の日,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20251218_507AC0000000013,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和五年法律第三号,令和五年三月三十一日,令和八年一月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20260101_505AC0000000003,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和八年一月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20260101_507AC0000000013,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和八年四月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20260401_507AC0000000013,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20260521_506AC0000000008,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,日本学術会議法,令和七年法律第七十号,令和七年六月十八日,令和八年十月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20261001_507AC0000000070,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和五年法律第三号,令和五年三月三十一日,令和九年一月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20270101_505AC0000000003,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和九年一月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20270101_506AC0000000008,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和九年一月一日,,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20270101_507AC0000000013,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律,令和六年法律第六十号,令和六年六月二十一日,令和九年六月二十日,公布の日から起算して三年を超えない範囲内において政令で定める日,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/20270620_506AC0000000060,○
法律,昭和四十年法律第三十三号,所得税法,しょとくぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和九十九年十二月三十一日,医療法等の一部を改正する法律（令和七年法律第　　　号）附則第一条第五号に掲げる規定の施行の日,340AC0000000033,https://laws.e-gov.go.jp/law/340AC0000000033/21171231_507AC0000000013,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20250601_504AC0000000068,
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和七年十二月十八日,スマートフォンにおいて利用される特定ソフトウェアに係る競争の促進に関する法律（令和六年法律第五十八号）の施行の日,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20251218_507AC0000000013,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和五年法律第三号,令和五年三月三十一日,令和八年一月一日,,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20260101_505AC0000000003,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和八年四月一日,,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20260401_507AC0000000013,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20260521_506AC0000000008,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,日本学術会議法,令和七年法律第七十号,令和七年六月十八日,令和八年十月一日,,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20261001_507AC0000000070,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律,令和六年法律第六十号,令和六年六月二十一日,令和九年六月二十日,公布の日から起算して三年を超えない範囲内において政令で定める日,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/20270620_506AC0000000060,○
法律,昭和四十年法律第三十四号,法人税法,ほうじんぜいほう,,昭和四十年三月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和九十九年十二月三十一日,医療法等の一部を改正する法律（令和七年法律第　　　号）附則第一条第五号に掲げる規定の施行の日,340AC0000000034,https://laws.e-gov.go.jp/law/340AC0000000034/21171231_507AC0000000013,○
法律,昭和四十年法律第百五十六号,石油ガス税法,せきゆがすぜいほう,,昭和四十年十二月二十九日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,340AC0000000156,https://laws.e-gov.go.jp/law/340AC0000000156/20250601_504AC0000000068,
法律,昭和四十年法律第百五十六号,石油ガス税法,せきゆがすぜいほう,,昭和四十年十二月二十九日,事業性融資の推進等に関する法律,令和六年法律第五十二号,令和六年六月十四日,令和八年十二月十三日,公布の日から起算して二年六月を超えない範囲内において政令で定める日,340AC0000000156,https://laws.e-gov.go.jp/law/340AC0000000156/20261213_506AC0000000052,○
政令,昭和四十年政令第九十六号,所得税法施行令,しょとくぜいほうしこうれい,,昭和四十年三月三十一日,所得税法施行令等の一部を改正する政令,令和七年政令第百二十号,令和七年三月三十一日,令和七年四月一日,,340CO0000000096,https://laws.e-gov.go.jp/law/340CO0000000096/20250401_507CO0000000120,
政令,昭和四十年政令第九十六号,所得税法施行令,しょとくぜいほうしこうれい,,昭和四十年三月三十一日,所得税法施行令等の一部を改正する政令,令和七年政令第百二十号,令和七年三月三十一日,令和七年十二月一日,,340CO0000000096,https://laws.e-gov.go.jp/law/340CO0000000096/20251201_507CO0000000120,○
政令,昭和四十年政令第九十六号,所得税法施行令,しょとくぜいほうしこうれい,,昭和四十年三月三十一日,所得税法施行令等の一部を改正する政令,令和七年政令第百二十号,令和七年三月三十一日,令和八年一月一日,,340CO0000000096,https://laws.e-gov.go.jp/law/340CO0000000096/20260101_507CO0000000120,○
政令,昭和四十年政令第九十六号,所得税法施行令,しょとくぜいほうしこうれい,,昭和四十年三月三十一日,所得税法施行令等の一部を改正する政令,令和七年政令第百二十号,令和七年三月三十一日,令和八年四月一日,,340CO0000000096,https://laws.e-gov.go.jp/law/340CO0000000096/20260401_507CO0000000120,○
政令,昭和四十年政令第九十六号,所得税法施行令,しょとくぜいほうせこうれい,,昭和四十年三月三十一日,所得税法施行令の一部を改正する政令,令和六年政令第百四十一号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,340CO0000000096,https://laws.e-gov.go.jp/law/340CO0000000096/20260521_506CO0000000141,○
政令,昭和四十年政令第九十七号,法人税法施行令,ほうじんぜいほうしこうれい,,昭和四十年三月三十一日,法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令,令和七年政令第百二十一号,令和七年三月三十一日,令和七年四月一日,,340CO0000000097,https://laws.e-gov.go.jp/law/340CO0000000097/20250401_507CO0000000121,
政令,昭和四十年政令第九十七号,法人税法施行令,ほうじんぜいほうしこうれい,,昭和四十年三月三十一日,法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令,令和七年政令第百二十一号,令和七年三月三十一日,令和八年四月一日,,340CO0000000097,https://laws.e-gov.go.jp/law/340CO0000000097/20260401_507CO0000000121,○
政令,昭和四十年政令第九十七号,法人税法施行令,ほうじんぜいほうしこうれい,,昭和四十年三月三十一日,法人税法施行令等の一部を改正する政令,令和六年政令第百四十二号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,340CO0000000097,https://laws.e-gov.go.jp/law/340CO0000000097/20260521_506CO0000000142,○
政令,昭和四十年政令第九十七号,法人税法施行令,ほうじんぜいほうしこうれい,,昭和四十年三月三十一日,法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令,令和七年政令第百二十一号,令和七年三月三十一日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,340CO0000000097,https://laws.e-gov.go.jp/law/340CO0000000097/20260521_507CO0000000121,○
政令,昭和四十年政令第九十七号,法人税法施行令,ほうじんぜいほうしこうれい,,昭和四十年三月三十一日,法人税法施行令及び法人税法施行令等の一部を改正する政令の一部を改正する政令,令和七年政令第百二十一号,令和七年三月三十一日,令和九十九年十二月三十一日,医療法等の一部を改正する法律（令和七年法律第　　　号）附則第一条第五号に掲げる規定の施行の日,340CO0000000097,https://laws.e-gov.go.jp/law/340CO0000000097/21171231_507CO0000000121,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和七年財務省令第十八号,令和七年三月三十一日,令和七年四月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20250401_507M60000040018,
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和七年財務省令第十八号,令和七年三月三十一日,令和七年十二月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20251201_507M60000040018,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和五年財務省令第十二号,令和五年三月三十一日,令和八年一月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20260101_505M60000040012,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和七年財務省令第十八号,令和七年三月三十一日,令和八年一月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20260101_507M60000040018,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和七年財務省令第十八号,令和七年三月三十一日,令和八年四月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20260401_507M60000040018,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうせこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和六年財務省令第十四号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20260521_506M60000040014,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうせこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和六年財務省令第十四号,令和六年三月三十日,令和八年九月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20260901_506M60000040014,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和五年財務省令第十二号,令和五年三月三十一日,令和九年一月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20270101_505M60000040012,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和七年財務省令第十八号,令和七年三月三十一日,令和九年一月一日,,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/20270101_507M60000040018,○
府省令,昭和四十年大蔵省令第十一号,所得税法施行規則,しょとくぜいほうしこうきそく,,昭和四十年三月三十一日,所得税法施行規則の一部を改正する省令,令和七年財務省令第十八号,令和七年三月三十一日,令和九十九年十二月三十一日,医療法等の一部を改正する法律（令和七年法律第　　　号）附則第一条第五号に掲げる規定の施行の日,340M50000040011,https://laws.e-gov.go.jp/law/340M50000040011/21171231_507M60000040018,○
府省令,昭和四十年大蔵省令第十二号,法人税法施行規則,ほうじんぜいほうしこうきそく,,昭和四十年三月三十一日,法人税法施行規則の一部を改正する省令,令和七年財務省令第四十三号,令和七年四月十四日,令和七年四月十四日,,340M50000040012,https://laws.e-gov.go.jp/law/340M50000040012/20250414_507M60000040043,
府省令,昭和四十年大蔵省令第十二号,法人税法施行規則,ほうじんぜいほうしこうきそく,,昭和四十年三月三十一日,法人税法施行規則の一部を改正する省令,令和七年財務省令第四十三号,令和七年四月十四日,令和七年十二月十七日,食品等の流通の合理化及び取引の適正化に関する法律及び卸売市場法の一部を改正する法律（令和七年法律第　　　号）の施行の日,340M50000040012,https://laws.e-gov.go.jp/law/340M50000040012/20251217_507M60000040043,○
府省令,昭和四十年大蔵省令第十二号,法人税法施行規則,ほうじんぜいほうしこうきそく,,昭和四十年三月三十一日,法人税法施行規則の一部を改正する省令,令和五年財務省令第十三号,令和五年三月三十一日,令和八年一月一日,,340M50000040012,https://laws.e-gov.go.jp/law/340M50000040012/20260101_505M60000040013,○
府省令,昭和四十年大蔵省令第十二号,法人税法施行規則,ほうじんぜいほうしこうきそく,,昭和四十年三月三十一日,法人税法施行規則等の一部を改正する省令,令和七年財務省令第十九号,令和七年三月三十一日,令和八年四月一日,,340M50000040012,https://laws.e-gov.go.jp/law/340M50000040012/20260401_507M60000040019,○
府省令,昭和四十年大蔵省令第十二号,法人税法施行規則,ほうじんぜいほうしこうきそく,,昭和四十年三月三十一日,防衛特別法人税に関する省令等の一部を改正する省令,令和七年財務省令第四十六号,令和七年四月十四日,令和八年四月一日,,340M50000040012,https://laws.e-gov.go.jp/law/340M50000040012/20260401_507M60000040046,○
府省令,昭和四十年大蔵省令第十二号,法人税法施行規則,ほうじんぜいほうしこうきそく,,昭和四十年三月三十一日,法人税法施行規則の一部を改正する省令,令和五年財務省令第十三号,令和五年三月三十一日,令和八年十月一日,,340M50000040012,https://laws.e-gov.go.jp/law/340M50000040012/20261001_505M60000040013,○
府省令,昭和四十年大蔵省令第十五号,減価償却資産の耐用年数等に関する省令,げんかしょうきゃくしさんのたいようねんすうとうにかんするしょうれい,,昭和四十年三月三十一日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う財務省関係省令の整理に関する省令,令和七年財務省令第三十四号,令和七年三月三十一日,令和七年四月一日,,340M50000040015,https://laws.e-gov.go.jp/law/340M50000040015/20250401_507M60000040034,
府省令,昭和四十年大蔵省令第四十九号,国税質問検査章規則,こくぜいしつもんけんさしょうきそく,,昭和四十年八月十三日,国税質問検査章規則の一部を改正する省令,令和七年財務省令第三十二号,令和七年三月三十一日,令和七年四月一日,,340M50000040049,https://laws.e-gov.go.jp/law/340M50000040049/20250401_507M60000040032,
府省令,昭和四十年大蔵省令第四十九号,国税質問検査章規則,こくぜいしつもんけんさしょうきそく,,昭和四十年八月十三日,国税質問検査章規則の一部を改正する省令,令和六年財務省令第四十八号,令和六年六月二十八日,令和八年一月一日,,340M50000040049,https://laws.e-gov.go.jp/law/340M50000040049/20260101_506M60000040048,○
府省令,昭和四十年農林省令第十三号,とうもろこし等の関税割当制度に関する省令,とうもろこしとうのかんぜいわりあてせいどにかんするしょうれい,,昭和四十年三月三十一日,とうもろこし等の関税割当制度に関する省令及び経済連携協定に基づく農林水産省の所掌事務に係る物資の関税割当制度に関する省令の一部を改正する省令,令和四年農林水産省令第五号,令和四年一月二十八日,令和四年四月一日,,340M50010000013,https://laws.e-gov.go.jp/law/340M50010000013/20220401_504M60000200005,
政令,昭和四十一年政令第五号,石油ガス税法施行令,せきゆがすぜいほうしこうれい,,昭和四十一年一月二十四日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う関係政令の整備等及び経過措置に関する政令,令和七年政令第六号,令和七年一月十七日,令和七年四月一日,,341CO0000000005,https://laws.e-gov.go.jp/law/341CO0000000005/20250401_507CO0000000006,
府省令,昭和四十一年大蔵省令第四号,石油ガス税法施行規則,せきゆがすぜいほうせこうきそく,,昭和四十一年一月二十四日,石油ガス税法施行規則の一部を改正する省令,令和七年財務省令第二十三号,令和七年三月三十一日,令和七年四月一日,,341M50000040004,https://laws.e-gov.go.jp/law/341M50000040004/20250401_507M60000040023,
府省令,昭和四十一年大蔵省令第十九号,とん税の納付書の様式を定める省令,とんぜいののうふしょのようしきをさだめるしょうれい,,昭和四十一年三月三十一日,,,昭和四十一年三月三十一日,昭和四十一年三月三十一日,,341M50000040019,https://laws.e-gov.go.jp/law/341M50000040019/19660331_000000000000000,
府省令,昭和四十一年大蔵省令第五十五号,関税法施行規則,かんぜいほうせこうきそく,,昭和四十一年九月二十八日,情報通信技術の活用による行政手続等に係る関係者の利便性の向上並びに行政運営の簡素化及び効率化を図るためのデジタル社会形成基本法等の一部を改正する法律の一部の施行に伴う財務省関係省令の整理に関する省令,令和七年財務省令第三十四号,令和七年三月三十一日,令和七年四月一日,,341M50000040055,https://laws.e-gov.go.jp/law/341M50000040055/20250401_507M60000040034,
府省令,昭和四十一年大蔵省令第五十五号,関税法施行規則,かんぜいほうせこうきそく,,昭和四十一年九月二十八日,関税法施行規則の一部を改正する省令,令和五年財務省令第三十八号,令和五年五月十二日,令和七年十月十二日,,341M50000040055,https://laws.e-gov.go.jp/law/341M50000040055/20251012_505M60000040038,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律　抄,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20250601_504AC0000000068,
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律,令和七年法律第三十号,令和七年五月十四日,令和七年八月十三日,公布の日から起算して三月を超えない範囲内において政令で定める日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20250813_507AC0000000030,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律,令和五年法律第五十三号,令和五年六月十四日,令和七年十二月十三日,公布の日から起算して二年六月を超えない範囲内において政令で定める日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20251213_505AC0000000053,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,脱炭素成長型経済構造への円滑な移行の推進に関する法律及び資源の有効な利用の促進に関する法律の一部を改正する法律,令和七年法律第五十二号,令和七年六月四日,令和八年四月一日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20260401_507AC0000000052,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,所得税法等の一部を改正する法律,令和六年法律第八号,令和六年三月三十日,令和八年五月二十一日,公益信託に関する法律（令和六年法律第三十号）の施行の日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20260521_506AC0000000008,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,所得税法等の一部を改正する法律,令和七年法律第十三号,令和七年三月三十一日,令和八年六月八日,感染症の予防及び感染症の患者に対する医療に関する法律等の一部を改正する法律（令和四年法律第九十六号）附則第一条第四号に掲げる規定の施行の日,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20260608_507AC0000000013,○
法律,昭和四十二年法律第二十三号,印紙税法,いんしぜいほう,,昭和四十二年五月三十一日,日本学術会議法,令和七年法律第七十号,令和七年六月十八日,令和八年十月一日,,342AC0000000023,https://laws.e-gov.go.jp/law/342AC0000000023/20261001_507AC0000000070,○
